universe,null,block,start,end,metric,mean
all144,uniform,0,0,50000,mean_wup,0.2768670172038674
all144,uniform,0,0,50000,row_overlap,0.9828578240406514
all144,uniform,0,0,50000,f1,0.9932986719441413
all144,uniform,0,0,50000,role_min_f1,0.9909916264021397
all144,uniform,0,0,50000,train_nodes,44321.0431
all144,uniform,0,0,50000,train_edges,616714.11758
all144,uniform,1,50000,100000,mean_wup,0.2768122991430759
all144,uniform,1,50000,100000,row_overlap,0.98280985491395
all144,uniform,1,50000,100000,f1,0.9932735996329785
all144,uniform,1,50000,100000,role_min_f1,0.9909623634362221
all144,uniform,1,50000,100000,train_nodes,44327.96898
all144,uniform,1,50000,100000,train_edges,616841.15596
all144,uniform,2,100000,150000,mean_wup,0.27684047241210935
all144,uniform,2,100000,150000,row_overlap,0.9828710429692268
all144,uniform,2,100000,150000,f1,0.9933010351371765
all144,uniform,2,100000,150000,role_min_f1,0.9909833756577968
all144,uniform,2,100000,150000,train_nodes,44344.18988
all144,uniform,2,100000,150000,train_edges,617187.09854
all144,uniform,3,150000,200000,mean_wup,0.27684262249082325
all144,uniform,3,150000,200000,row_overlap,0.982910602709055
all144,uniform,3,150000,200000,f1,0.9933190082931519
all144,uniform,3,150000,200000,role_min_f1,0.991007805302143
all144,uniform,3,150000,200000,train_nodes,44330.30438
all144,uniform,3,150000,200000,train_edges,616882.2959
all144,uniform,4,200000,250000,mean_wup,0.27677817855507136
all144,uniform,4,200000,250000,row_overlap,0.982846540235281
all144,uniform,4,200000,250000,f1,0.9932879394602776
all144,uniform,4,200000,250000,role_min_f1,0.9909618021941184
all144,uniform,4,200000,250000,train_nodes,44341.75112
all144,uniform,4,200000,250000,train_edges,617112.27942
all144,uniform,5,250000,300000,mean_wup,0.2768466728717089
all144,uniform,5,250000,300000,row_overlap,0.9829334604156017
all144,uniform,5,250000,300000,f1,0.9933220058846474
all144,uniform,5,250000,300000,role_min_f1,0.9910205000138282
all144,uniform,5,250000,300000,train_nodes,44321.83754
all144,uniform,5,250000,300000,train_edges,616686.31732
all144,uniform,6,300000,350000,mean_wup,0.2768815885451436
all144,uniform,6,300000,350000,row_overlap,0.982897755792141
all144,uniform,6,300000,350000,f1,0.9933089201343059
all144,uniform,6,300000,350000,role_min_f1,0.9909876969528199
all144,uniform,6,300000,350000,train_nodes,44332.67242
all144,uniform,6,300000,350000,train_edges,616932.07342
all144,uniform,7,350000,400000,mean_wup,0.2767146305578947
all144,uniform,7,350000,400000,row_overlap,0.9828299365854263
all144,uniform,7,350000,400000,f1,0.9932841129374504
all144,uniform,7,350000,400000,role_min_f1,0.9909693093657493
all144,uniform,7,350000,400000,train_nodes,44311.74678
all144,uniform,7,350000,400000,train_edges,616526.69956
all144,uniform,8,400000,450000,mean_wup,0.2768224403807521
all144,uniform,8,400000,450000,row_overlap,0.98281593100667
all144,uniform,8,400000,450000,f1,0.9932791351926327
