universe,null,metric,N,mean,sd,se_mean,q_0,q_0.0001,q_0.001,q_0.01,q_0.05,q_0.1,q_0.25,q_0.5,q_0.75,q_0.9,q_0.95,q_0.99,q_0.999,q_0.9999,q_1
all144,uniform,mean_wup,1000000,0.2768596726898253,0.021506273701499216,2.1506273701499216e-05,0.18929514288902283,0.20566439986079932,0.21679203121364116,0.2309253215789795,0.24344919249415398,0.25028567016124725,0.26207219809293747,0.2758207321166992,0.29045651108026505,0.30473936498165133,0.3138257697224617,0.3324169030785561,0.35635105854273036,0.3792535374253994,0.4165104329586029
all144,uniform,max_wup,1000000,0.8211049732919633,0.09095715330052807,9.095715330052808e-05,0.2222222238779068,0.3076923191547394,0.3333333432674408,0.5,0.6666666865348816,0.6666666865348816,0.800000011920929,0.8571428656578064,0.8888888955116272,0.9090909361839294,0.9230769276618958,0.9333333373069763,0.9333333373069763,0.9333333373069763,0.9333333373069763
all144,uniform,mean_best_wup,1000000,0.6274300316434651,0.09984208464011993,9.984208464011993e-05,0.22045454382896423,0.2627164423465729,0.300595223903656,0.38253968954086304,0.45476189255714417,0.4958333373069763,0.560363233089447,0.6318181753158569,0.6984848380088806,0.7550747990608215,0.7849358916282654,0.8323412537574768,0.8721140027046204,0.8926739692687988,0.9170939922332764
all144,uniform,mean_dist,1000000,6.618205374790191,0.6244078512290953,0.0006244078512290952,4.150000095367432,4.599999904632568,4.875,5.224999904632568,5.599999904632568,5.824999809265137,6.175000190734863,6.599999904632568,7.050000190734863,7.425000190734863,7.675000190734863,8.100000381469727,8.550000190734863,8.899999618530273,9.350000381469727
all144,uniform,min_dist,1000000,1.581989,0.7272938421541413,0.0007272938421541413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,6.0,7.0
all144,uniform,mean_nearest_dist,1000000,2.98277675,0.7583111150413033,0.0007583111150413033,1.0,1.0,1.25,1.5,1.75,2.0,2.5,3.0,3.5,4.0,4.25,5.0,5.75,6.5,7.5
all144,uniform,row_overlap,1000000,0.9828478554769754,0.013069577209591773,1.3069577209591774e-05,0.8496055006980896,0.8797689603090286,0.9040673218369484,0.9374838179349899,0.9582788854837417,0.9663348078727723,0.9769319146871567,0.9859203100204468,0.9921882152557373,0.995769739151001,0.9973084330558777,0.9992840898036957,1.0,1.0,1.0
all144,uniform,unique_overlap,1000000,0.9567635558532477,0.027888697335506522,2.7888697335506523e-05,0.7542021870613098,0.7974747377216816,0.82681119287014,0.8709276252985001,0.9043384075164795,0.9193282127380371,0.9411930441856384,0.9619461894035339,0.9778209328651428,0.9874701976776123,0.9918500185012817,0.9977318108081817,1.0,1.0,1.0
all144,uniform,pos_coverage,1000000,0.98672397741431,0.010237973034501744,1.0237973034501744e-05,0.8699435591697693,0.8978835843920707,0.918110117316246,0.9504498171806336,0.9679405063390731,0.9742915809154511,0.9823952317237854,0.989052027463913,0.9938275814056396,0.9966759145259857,0.9978938102722168,0.9994595056772232,1.0,1.0,1.0
all144,uniform,f1,1000000,0.9932906080228686,0.005244352552597353,5.244352552597353e-06,0.9304490089416504,0.9461945837855339,0.9573069729804993,0.9745954835414886,0.9837090969085693,0.986978393793106,0.9911194443702698,0.9944958686828613,0.9969042539596558,0.998335188627243,0.9989457726478577,0.9997296929359436,1.0,1.0,1.0
all144,uniform,role_worst_mean_wup,1000000,0.28441326978179815,0.023273454909932646,2.3273454909932646e-05,0.18929514288902283,0.2094329290881753,0.22153429333865643,0.23580141365528107,0.2485557496547699,0.2556159973144531,0.2681081295013428,0.2830854505300522,0.29945918917655945,0.3149242401123047,0.3243921399116516,0.34335318744182586,0.370725143849852,0.4017545016020556,0.44479575753211975
all144,uniform,role_absdiff_wup,1000000,0.015107194196924568,0.013207403882642384,1.3207403882642383e-05,0.0,0.0,0.0,0.00015977025032043457,0.0009361505508422852,0.001941516995429994,0.005108281970024109,0.011614084243774414,0.0214599147439003,0.03306594789028168,0.0413902774453163,0.05903500318527222,0.08102564300596775,0.09980465033502049,0.13733404874801636
all144,uniform,role_mean_f1,1000000,0.9933939251704812,0.005177866764117229,5.1778667641172295e-06,0.9306564331054688,0.9463130825221538,0.9576386154890061,0.9748865920305252,0.9839514374732972,0.9871770143508911,0.9912728518247604,0.9945866465568542,0.9969485402107239,0.998360276222229,0.9989615082740784,0.9997299319505691,1.0,1.0,1.0
all144,uniform,role_min_f1,1000000,0.9909770462912917,0.006690437103283269,6.690437103283269e-06,0.9189301133155823,0.937050871860981,0.9486067865490914,0.9676392668485642,0.9786741673946381,0.982711672782898,0.9879628419876099,0.992490291595459,0.9957194477319717,0.9975728452205658,0.9983959197998047,0.9995148199796676,1.0,1.0,1.0
