universe,heldout_tissues,heldout_indices,random_samples_conditional,optimized_mean_wup,random_mean_mean_wup,difference_mean_wup,optimized_max_wup,random_mean_max_wup,difference_max_wup,optimized_row_overlap,random_mean_row_overlap,difference_row_overlap,optimized_unique_overlap,random_mean_unique_overlap,difference_unique_overlap,optimized_lookup_micro_f1,random_mean_lookup_micro_f1,difference_lookup_micro_f1,optimized_training_node_total,random_mean_training_node_total,difference_training_node_total,optimized_training_edge_total,random_mean_training_edge_total,difference_training_edge_total
all144,basal_ganglion|blood|bone_marrow|colon,8|10|15|31,35,0.222683080808,0.26265636256762914,-0.03997328175962914,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.974613882478,0.9825796978814262,-0.007965815403426224,0.93891029169,0.9557748249598912,-0.016864533269891235,0.989196660585,0.9926925880568368,-0.0034959274718368016,43264.0,44352.45714285714,-1088.4571428571435,607203.0,620556.9714285714,-13353.971428571385
all144,basal_ganglion|blood|bone_marrow|fetus,8|10|15|47,30,0.222167207792,0.2669799784819285,-0.044812770689928505,0.333333333333,0.35555556416511536,-0.02222223083211533,0.968833780161,0.9687220732371012,0.0001117069238987245,0.923797468354,0.9242362876733144,-0.00043881931931444296,0.987400457008,0.9874962707360585,-9.581372805844701e-05,43479.0,44131.2,-652.1999999999971,610793.0,617328.9,-6535.900000000023
all144,basal_ganglion|blood|bone_marrow|gastrointestinal_tract,8|10|15|50,40,0.242094155844,0.28711859658360483,-0.04502444073960485,0.4,0.4000000059604645,-5.960464455334602e-09,0.971381350035,0.9796189963817596,-0.008237646346759608,0.93215339233,0.9491485714912414,-0.01699517916124138,0.987956009883,0.991399484872818,-0.0034434749898180073,43264.0,44243.075,-979.0749999999971,607203.0,619423.925,-12220.925000000047
all144,basal_ganglion|blood|bone_marrow|heart,8|10|15|54,47,0.231626984127,0.281391423433385,-0.04976443930638502,0.333333333333,0.3517730584804048,-0.018439725147404773,0.972576913189,0.9775509961107944,-0.004974082921794465,0.930789473684,0.9433986557290909,-0.012609182045090872,0.988384252933,0.9905730168870155,-0.00218876395401546,43340.0,44261.27659574468,-921.2765957446827,607498.0,618443.6808510638,-10945.680851063807
all144,basal_ganglion|blood|bone_marrow|hippocampus,8|10|15|57,35,0.231626984127,0.27832426258495874,-0.046697278457958735,0.333333333333,0.34476191401481626,-0.011428580681816236,0.97447816972,0.9776657938957214,-0.003187624175721382,0.939864483343,0.9475518294743129,-0.007687346131312944,0.990142335186,0.9913983941078186,-0.0012560589218185703,43463.0,44269.6,-806.5999999999985,611847.0,619153.6857142857,-7306.685714285704
all144,basal_ganglion|blood|bone_marrow|intestine,8|10|15|61,35,0.234007936508,0.27552267738751,-0.041514740879510015,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.972081661141,0.9805419138499669,-0.008460252708966887,0.934015620792,0.9518294845308576,-0.017813863738857627,0.988112060297,0.9918186681611197,-0.003706607864119693,43264.0,44322.828571428574,-1058.828571428574,607203.0,620733.8285714285,-13530.828571428545
all144,basal_ganglion|blood|bone_marrow|kidney,8|10|15|64,54,0.255625901876,0.28641761397873916,-0.030791712102739177,0.333333333333,0.3580246998204125,-0.02469136648741249,0.982912522316,0.9792255063851675,0.003687015930832538,0.958797615963,0.9480963161698094,0.010701299793190566,0.992316710061,0.9911932614114549,0.0011234486495450557,44604.0,44540.75925925926,63.24074074073724,626762.0,622602.4814814815,4159.51851851854
all144,basal_ganglion|blood|bone_marrow|large_intestine,8|10|15|65,33,0.227722138972,0.2684838306723219,-0.0407616917003219,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.974397590361,0.9801612875678323,-0.00576369720683223,0.938495332235,0.9498860149672537,-0.011390682732253632,0.989134168965,0.9916311646952773,-0.002496995730277396,43264.0,44172.545454545456,-908.5454545454559,607203.0,617944.4848484849,-10741.484848484863
all144,basal_ganglion|blood|bone_marrow|liver,8|10|15|68,40,0.2205501443,0.26581171080470084,-0.04526156650470084,0.333333333333,0.35166667550802233,-0.018333342175022305,0.970014606066,0.9749054923653603,-0.0048908862993602975,0.930374701036,0.9405726820230484,-0.010197980987048494,0.986964103513,0.9891215518116951,-0.0021574482986951304,43430.0,44081.7,-651.6999999999971,610119.0,615780.0,-5661.0
all144,basal_ganglion|blood|bone_marrow|lung,8|10|15|70,39,0.231626984127,0.27774725281275237,-0.046120268685752364,0.333333333333,0.3452991545200348,-0.011965821187034764,0.973271652531,0.9770981440177331,-0.0038264914867330857,0.937665782493,0.9460790279584054,-0.008413245465405339,0.988597090836,0.9901755391023098,-0.0015784482663098176,43430.0,44300.4358974359,-870.4358974358984,610119.0,618042.6923076923,-7923.692307692254
