role	tissue	hierarchy_node	top_level_branch	node_count	edge_count	meets_15000	meets_35000	layer_type
heldout_pair_A	colon	Colon	GastrointestinalTract	2807	43854	1	1	leaf_layer
heldout_pair_A	fetus	Fetus	TissuesCellTypesAndEnzymeSources	3477	53703	1	1	leaf_layer
heldout_pair_B	pancreas	Pancreas	Gland	3043	47402	1	1	leaf_layer
heldout_pair_B	hematopoietic_stem_cell	HematopoieticStemCell	HematopoieticSystem	2633	38419	1	1	leaf_layer
train	aorta	Aorta	CardiovascularSystem	1587	18871	1	0	leaf_layer
train	b_lymphocyte	B-Lymphocyte	LymphoidTissue	2013	28329	1	0	leaf_layer
train	thymocyte	Thymocyte	LymphoidTissue	1343	16210	1	0	leaf_layer
train	caudate_nucleus	CaudateNucleus	NervousSystem	2370	33883	1	0	leaf_layer
train	corpus_callosum	CorpusCallosum	NervousSystem	2278	33019	1	0	leaf_layer
train	forebrain	Forebrain	NervousSystem	2664	39671	1	1	leaf_layer
train	frontal_lobe	FrontalLobe	NervousSystem	1952	24651	1	0	leaf_layer
train	hypophysis	Hypophysis	NervousSystem	1842	23706	1	0	leaf_layer
train	medulla_oblongata	MedullaOblongata	NervousSystem	1828	22571	1	0	leaf_layer
train	midbrain	Midbrain	NervousSystem	2310	31665	1	0	leaf_layer
train	temporal_lobe	TemporalLobe	NervousSystem	2570	38281	1	1	leaf_layer
train	thalamus	Thalamus	NervousSystem	2345	33167	1	0	leaf_layer
train	myometrium	Myometrium	UrogenitalSystem	1397	15169	1	0	leaf_layer
train	prostate_gland	ProstateGland	UrogenitalSystem	2697	41514	1	1	leaf_layer
train	renal_glomerulus	RenalGlomerulus	UrogenitalSystem	1910	24585	1	0	leaf_layer
train	spermatid	Spermatid	UrogenitalSystem	1380	15580	1	0	leaf_layer
train	testis	Testis	UrogenitalSystem	3028	48758	1	1	leaf_layer
train	umbilical_cord	UmbilicalCord	UrogenitalSystem	1875	23120	1	0	leaf_layer
train	uterine_cervix	UterineCervix	UrogenitalSystem	1432	15873	1	0	leaf_layer
train	uterine_endometrium	UterineEndometrium	UrogenitalSystem	1892	24424	1	0	leaf_layer
