  K              metric  n_heldout_sets  mean_difference  median_difference          q05         q95  fraction_optimized_lower
 25            mean_wup            1062        -0.029827          -0.030369    -0.043340   -0.013879                  1.000000
 25         row_overlap            1062        -0.003494          -0.001321    -0.016268    0.002880                  0.667608
 25      unique_overlap            1062        -0.006995          -0.003635    -0.031230    0.006874                  0.666667
 25     lookup_micro_f1            1062        -0.001340          -0.000431    -0.006531    0.001328                  0.629002
 25 training_node_total            1062       -12.466441          -7.700000   -51.464000    9.938000                  0.745763
 25 training_edge_total            1062       137.522072         103.360000  -252.726000  708.502000                  0.313559
 50            mean_wup            1062        -0.029863          -0.030573    -0.043543   -0.014233                  1.000000
 50         row_overlap            1062        -0.003556          -0.001325    -0.016411    0.002798                  0.678908
 50      unique_overlap            1062        -0.007166          -0.003614    -0.031230    0.006746                  0.676083
 50     lookup_micro_f1            1062        -0.001364          -0.000449    -0.006500    0.001264                  0.636535
 50 training_node_total            1062       -21.250038         -13.410000   -73.957000   11.421000                  0.802260
 50 training_edge_total            1062       198.207006         172.080000  -325.477000  860.379000                  0.286252
100            mean_wup            1062        -0.029980          -0.030710    -0.043481   -0.014423                  1.000000
100         row_overlap            1062        -0.003722          -0.001367    -0.016496    0.002670                  0.687382
100      unique_overlap            1062        -0.007511          -0.003551    -0.032064    0.006836                  0.682674
100     lookup_micro_f1            1062        -0.001429          -0.000443    -0.006562    0.001198                  0.644068
100 training_node_total            1062       -36.184407         -24.495000  -120.746500   14.639000                  0.820151
100 training_edge_total            1062       239.764727         254.655000  -660.063500 1167.298500                  0.294727
200            mean_wup            1062        -0.030061          -0.030769    -0.043660   -0.014595                  1.000000
200         row_overlap            1062        -0.004028          -0.001422    -0.018147    0.002582                  0.694915
200      unique_overlap            1062        -0.008135          -0.003744    -0.034708    0.006384                  0.694915
200     lookup_micro_f1            1062        -0.001554          -0.000473    -0.007094    0.001125                  0.658192
200 training_node_total            1062       -61.908169         -43.585000  -205.655250   22.070750                  0.844633
200 training_edge_total            1062       109.793211         262.445000 -2046.979250 1555.150000                  0.386064
