omitted_redundant_bundle,bundle_size_bytes,bundle_sha256,file_members,unique_member_hashes,all_members_represented_in_snapshot_by_sha256,reason_not_nested
B101_goa159_analysis_bundle_20260827T152736Z.zip,11621024,0c4c917351c0b6655ea3b3fc5c451282451951cdbf0e9d7ad3cb43094bb5b1c9,29,29,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B102_gp2protein_analysis_bundle_20260827T163101Z.zip,3249977,2d39c91bed5b59507610094463e68a534dc0eb660b03b17c49023bd7a2b61e71,53,45,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104A_exact_GO_reconstruction_bundle_20260828T152026Z.zip,13069650,5b3d36c2f1325933ec73140d557c9e69f9433eb02fef72a1bf792ed9ef03134a,82,72,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104B_MSigDB_term_selection_handoff_bundle_20260828T161826Z.zip,341801,732db5d7fefa5a0e72ebfb1fd2c71728bfa3e665a0d009e27d528b0209026511,25,25,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104C_MSigDB50_column_order_bundle_20260828T200948Z.zip,4064734,bdec8349eb14e643a6db640d67597373b7a3d0db8da6353183da08b0e8b595e6,57,49,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104D_column_order_date_range_uniprot_bundle_20260829T010311Z.zip,1337711,c49be54efdc12d41cd33b60d917687def26d75bad69c7396d4e04d4f461c8e40,49,46,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104E_GOA_date_UniProt_feature_rule_bundle_20260829T122734Z.zip,3576578,85a3c7f089e7468b1bfc98c10071c9b91de108bab44a2f0d0c495e450af8f6b2,83,70,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104F_full_label_class_validation_bundle_20260829T140333Z.zip,7566143,385adf29361a66841554328a42ba0ee070ed36d1f52dbd8874b66f7dee688afb,45,41,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104G_full_row_and_label_resolution_bundle_20260829T151452Z.zip,26458521,3db03af494bafad614b21e3c55b1d03b8cd8373325d704b3dbc5c1152d0e01a8,65,57,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104H_node_mapping_provenance_bundle_20260830T110259Z.zip,7654555,975ad05d50558c8c0041e964805c7fc12aacf437178c354e45d45b75dfec3d94,17,17,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104I_PPI_provenance_and_literature_bundle_20260830T114918Z.zip,121359,85919c607a867d317f62d91eb83d521ed78b4a727adfab133b88a53c95e74324,13,13,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
B104_release158_analysis_bundle_20260828T032801Z.zip,21346524,c131fb1f65d4b8c242b60d3db3ea815dc873674b18162d8dfd164f32f5609570,71,61,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
ppi_reproduction_analysis_bundle.zip,307013,3c431ae782792a9727d97d9cb03c06526e181b12c8645c30879dcf54fe7a5ce6,61,39,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
ppi_reproduction_corrected_bundle.zip,643811,ffa1997c4311ad859f109de01a0fd5580f6fd301bee0e60023c1ebe817a338e4,61,53,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
ppi_batch_upload_protocol.zip,7309,20e0125084aac257888c1fe74fb89fc908815fbd070760f266af49bc55ea6b86,4,4,yes,All unique contents are expanded in this snapshot; nesting prior bundles would duplicate data.
