artifact_name,relative_path,size_bytes,sha256,mtime_utc,file_suffixes,direct_or_canonical_source_url,source_page_url,obtained_from,acquired_at_utc,provenance_notes
2016-06-01-go.obo,2016-06-01-go.obo,34762536,9b4c0c28d73ba41ae4c684d78b354d2c8bea691a5d759d4cdd188eecdd307ca2,2026-08-15T19:16:39.146564+00:00,.obo,,,,,
2016-06-01-gp2protein.geneid.gz,2016-06-01-gp2protein.geneid.gz,38540366,f3a2d329ada32f03e4c3ec60c55ef77cfe3626c3c875832e59612e5f316504e7,2026-08-15T19:45:00.492038+00:00,.geneid.gz,,,,,
2016-12-23-gene2go.gz,2016-12-23-gene2go.gz,19731322,33bedddfa375a99557fc8ddc8192b8441745f7c338714441ec3bafbed6228386,2026-08-16T02:58:26.135689+00:00,.gz,,,,,
2016-12-23-gene2go_human.tsv.gz,2016-12-23-gene2go_human.tsv.gz,3280383,5d14e96beead06423b047621ac02829b576e041e607a58f70820947839641c09,2026-08-16T02:58:52.118008+00:00,.tsv.gz,,,,,
gene_association.goa_human.155.gz,gene_association.goa_human.155.gz,6546187,46bf5f758f3c2d7c2f296ec0723a73eb7c26ee7cd050b5d2edd10c8eab27b0fa,2026-08-15T20:06:10.476954+00:00,.goa_human.155.gz,,,,,
gene_association.goa_human.156.gz,gene_association.goa_human.156.gz,6466998,768afdd97807bdfa0fa1f653998005b7b23262307850df36c52e335e5ef55caa,2026-08-16T02:24:33.487036+00:00,.goa_human.156.gz,,,,,
gene_association.goa_human.157.gz,gene_association.goa_human.157.gz,6434409,71ec07f1c7fe7acf15855ef37bb47fc41cac3b8703fe556afb08854724b9bc9e,2026-08-16T02:24:45.233447+00:00,.goa_human.157.gz,,,,,
goa_human.gaf.158.gz,goa_human.gaf.158.gz,4854158,7d5f7aabd0bea1e1f2a9d18af70f5d4038a85a78736d07ba69fc331b34241acf,2026-08-16T02:25:09.552743+00:00,.gaf.158.gz,,,,,
goa_human.gaf.159.gz,goa_human.gaf.159.gz,4890788,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,2026-08-15T16:24:36.504724+00:00,.gaf.159.gz,,,,,
goa_human.gaf.160.gz,goa_human.gaf.160.gz,4574158,3d55da7ecf20d4e6c1dfd332a859be521579ba220bcf68fe93633592241ce300,2026-08-15T16:24:52.830339+00:00,.gaf.160.gz,,,,,
goa_human.gpa.158.gz,goa_human.gpa.158.gz,3636575,4d1b31df7490ad55c215d2e8525a098d820bf12a7d2d26cd13bc58a633d5f26a,2026-08-27T14:31:18.560148+00:00,.gpa.158.gz,,,,,
goa_human.gpa.159.gz,goa_human.gpa.159.gz,3665510,dbe9073e726e804f51b0fe80ecd2897798f22a558e75aeb1c8bfc229357b574a,2026-08-27T14:30:56.366237+00:00,.gpa.159.gz,,,,,
goa_human.gpa.160.gz,goa_human.gpa.160.gz,3370602,937d14b7edee3efcdc01306c373982d5dc7f00fc891928ac25c7a99d40dab14c,2026-08-27T14:31:02.725841+00:00,.gpa.160.gz,,,,,
goa_human.gpi.158.gz,goa_human.gpi.158.gz,602496,2c7a7a836d022038431a5efbfa48dbe0dd1777264e008f693b78387568dd354a,2026-08-27T14:31:57.407953+00:00,.gpi.158.gz,,,,,
goa_human.gpi.159.gz,goa_human.gpi.159.gz,602689,f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612,2026-08-15T19:04:12.130827+00:00,.gpi.159.gz,,,,,
goa_human.gpi.160.gz,goa_human.gpi.160.gz,693073,2638f62e9ef2e6de8017ad5de026d403ce74782a800bab2b3539645c218ddce9,2026-08-15T19:04:20.550586+00:00,.gpi.160.gz,,,,,
gp_association.goa_human.157.gz,gp_association.goa_human.157.gz,4183687,5c42f004978dbfe65a9de1f94da70e4d5e2efce04090b325b97bd8b8d829d78f,2026-08-27T14:32:41.488519+00:00,.goa_human.157.gz,,,,,
HumanBase-blood.dat,HumanBase-blood.dat,8401428,d3b9ab9b697fba7761e4a13fcc38a3b9d493d42dd31a06d88f45886eac63fbd5,2026-08-16T21:43:58.782107+00:00,.dat,,,,,
HumanBase-blood_top.gz,HumanBase-blood_top.gz,182612266,49dc41f1ab89c4e25e907e00218bde38d3ecc9f80c57ebdb79fe5f9c6a850f84,2026-08-16T21:47:17.561749+00:00,.gz,,,,,
