artifact_name,relative_path,size_bytes,sha256,mtime_utc,file_suffixes,direct_or_canonical_source_url,source_page_url,obtained_from,acquired_at_utc,provenance_notes
2016-06-01-annotations-README,2016-06-01-annotations-README,1999,32134f9555d6710a9bb488fe652fef04cd84facf516f669939487d137f8bcc88,2026-08-15T19:38:04.018182+00:00,,,,,,
2016-06-01-gene_ontology.obo,2016-06-01-gene_ontology.obo,30449937,3bc7e81ebac6f6e99b75b136ae0c97542b711697784ffb0275575afdd5a0298c,2026-08-15T19:16:55.087346+00:00,.obo,,,,,
2016-06-01-go.obo,2016-06-01-go.obo,34762536,9b4c0c28d73ba41ae4c684d78b354d2c8bea691a5d759d4cdd188eecdd307ca2,2026-08-15T19:16:39.146564+00:00,.obo,,,,,
2016-06-01-go.owl,2016-06-01-go.owl,170536280,008c6fab29b367f291132eb3e23ffc3f7c939101ebfc4124e63724e789eeea77,2026-08-15T19:16:49.027499+00:00,.owl,,,,,
2016-06-01-gp2protein.geneid.gz,2016-06-01-gp2protein.geneid.gz,38540366,f3a2d329ada32f03e4c3ec60c55ef77cfe3626c3c875832e59612e5f316504e7,2026-08-15T19:45:00.492038+00:00,.geneid.gz,,,,,
2016-06-01-gp2protein.human.gz,2016-06-01-gp2protein.human.gz,378274,5a62823541d718c212b61efe741b61f67b10c9a8fb71114f9cd3e33f9cc501dd,2026-08-15T19:20:00.869696+00:00,.human.gz,,,,,
2016-12-23-gene2go.gz,2016-12-23-gene2go.gz,19731322,33bedddfa375a99557fc8ddc8192b8441745f7c338714441ec3bafbed6228386,2026-08-16T02:58:26.135689+00:00,.gz,,,,,
2016-12-23-gene2go_human.tsv.gz,2016-12-23-gene2go_human.tsv.gz,3280383,5d14e96beead06423b047621ac02829b576e041e607a58f70820947839641c09,2026-08-16T02:58:52.118008+00:00,.tsv.gz,,,,,
2026-08-14-gene2go.gz,2026-08-14-gene2go.gz,1374437901,89ab428f49d81a730e674d3ebec47e4d8ddf39838a464734cab64b87aacf15c7,2026-08-16T02:42:15.141355+00:00,.gz,,,,,
2026-08-14-gene2go_human.tsv.gz,2026-08-14-gene2go_human.tsv.gz,5328626,b339ff9dea4e1baa4c26e425a5f4f646cb7eddf0def5291ae3fb615e4f553480,2026-08-16T02:50:12.553239+00:00,.tsv.gz,,,,,
bio-tissue-hierarchy.tar.gz,bio-tissue-hierarchy.tar.gz,421785,c4568a68bb83319bff854eecf73a93f698fe2c41ed6e95639af974dd024ffef7,2026-08-14T16:14:26.911041+00:00,.tar.gz,,,,,
bio-tissue-labels.tar.gz,bio-tissue-labels.tar.gz,1793328,6abf272940d2407849bd779e5f85c0377a2fb07c2351d1ebc82e3d06a46bc11d,2026-08-14T16:14:31.166173+00:00,.tar.gz,,,,,
bio-tissue-networks.tar.gz,bio-tissue-networks.tar.gz,15568869,2c79e17f4a7c8680a7cbf8b20cef4acf356a7523c9a75fce586494153c0603d1,2026-08-14T16:12:36.715408+00:00,.tar.gz,,,,,
bio-tissue-readme.txt,bio-tissue-readme.txt,1465,7f3372f8ae3a90852951c73b18980386ceb4ad2f5d32d81366adf22fd75e2b20,2026-08-14T16:18:05.646253+00:00,.txt,,,,,
bioconductor-annotation-org.Hs.eg.db_3.0.0.tar.gz,bioconductor-annotation-org.Hs.eg.db_3.0.0.tar.gz,61468422,8050de3394620756743770280dab2dc4a71b0f25fe2c00644590eb1472e47a9b,2026-08-17T15:45:40.181739+00:00,.Hs.eg.db_3.0.0.tar.gz,,,,,
bioconductor-annotation-org.Hs.eg.db_3.1.2.tar.gz,bioconductor-annotation-org.Hs.eg.db_3.1.2.tar.gz,65439359,f740123867e67a255d07ed1019bac565b94c948bc70dc5c1e584ce94cad76c62,2026-08-17T15:45:58.492934+00:00,.Hs.eg.db_3.1.2.tar.gz,,,,,
bioconductor-annotation-org.Hs.eg.db_3.3.0.tar.gz,bioconductor-annotation-org.Hs.eg.db_3.3.0.tar.gz,69122902,f7e7d37e4dd6824e5333ca2a930535859328b3e640150b82f056a026fd20eb27,2026-08-16T12:54:21.253959+00:00,.Hs.eg.db_3.3.0.tar.gz,,,,,
bioconductor-annotation-org.Hs.eg.db_3.4.0.tar.gz,bioconductor-annotation-org.Hs.eg.db_3.4.0.tar.gz,69557350,c6133611cc991dfc17410d06a9ddcc6dcff0153bceffdf7d5a9b7dc42f31afa6,2026-08-16T12:53:57.588332+00:00,.Hs.eg.db_3.4.0.tar.gz,,,,,
blood_sample.tsv.gz,blood_sample.tsv.gz,6597,de33c01e4ec3f54729e937ec4ec7f4fb4b52a846cfeb462214411154f7c89ddf,2026-08-17T21:14:41.248592+00:00,.tsv.gz,,,,,
chat_gpt_historical_go_mapping_inventory.md,chat_gpt_historical_go_mapping_inventory.md,55969,ad10c6ed2919409a3dda0f2e89f4a5f7709cb739f9e3129297b1fa9f497f4b0c,2026-08-23T16:02:01.338586+00:00,.md,,,,,
dgl_ppi.zip,dgl_ppi.zip,7088822,1f5b2b09ac0f897fa6aa1338c64ab75a5473674cbba89380120bede8cddb2a6a,2026-08-15T02:50:07.198995+00:00,.zip,,,,,
dhimmel-gene-ontology-962a5e1-GO_annotations-9606-direct-allev.tsv,dhimmel-gene-ontology-962a5e1-GO_annotations-9606-direct-allev.tsv,147142,26884fcfa735b95c329280107c118ee38d1fc1a510287187873e8805991129d0,2026-08-21T20:37:18.500632+00:00,.tsv,,,,,
dhimmel-gene-ontology-962a5e1-GO_annotations-9606-direct-expev.tsv,dhimmel-gene-ontology-962a5e1-GO_annotations-9606-direct-expev.tsv,150794,36dcf23ff53284098317126dca8f4e87990071017a17ce0847d7578a18da3d7a,2026-08-21T20:37:31.076110+00:00,.tsv,,,,,
dhimmel-gene-ontology-962a5e1-GO_annotations-9606-inferred-allev.tsv,dhimmel-gene-ontology-962a5e1-GO_annotations-9606-inferred-allev.tsv,147185,12b32f3f44014ba0d16a341ad5ace8170afa047c783074cc817556edd7cee874,2026-08-21T20:37:40.740869+00:00,.tsv,,,,,
dhimmel-gene-ontology-962a5e1-GO_annotations-9606-inferred-expev.tsv,dhimmel-gene-ontology-962a5e1-GO_annotations-9606-inferred-expev.tsv,147186,66064652bc84250a6d2349b591381b10f7436bc48cdb4e4224be977bd7258474,2026-08-21T20:37:45.657942+00:00,.tsv,,,,,
file_inventory_2026_08_18.pdf,file_inventory_2026_08_18.pdf,194113,165099955d8731a9477ca959ef133eaee87016dbb1b7e2831b889f7025c5c0df,2026-08-18T18:16:12.944609+00:00,.pdf,,,,,
filter_gene2go.sh,filter_gene2go.sh,578,db1e0dc2efb285922628bcec4381357aa924d78418147b3b595dc9653a4b8061,2026-08-16T02:48:56.180950+00:00,.sh,,,,,
find_gene2go_2016.py,find_gene2go_2016.py,7907,9841a51241c6f65fb3b2ce094fdbaa3d65c77cad6aff859dd9c659d0ff887c54,2026-08-23T00:22:36.679689+00:00,.py,,,,,
gene2go_github_survey.tsv,gene2go_github_survey.tsv,3160,470cdd5c2e5e4416d51e2052f16781dfc3ac0315713cedfddada00d3403c5c2d,2026-08-23T00:27:03.041248+00:00,.tsv,,,,,
gene_association.goa_human.155.gz,gene_association.goa_human.155.gz,6546187,46bf5f758f3c2d7c2f296ec0723a73eb7c26ee7cd050b5d2edd10c8eab27b0fa,2026-08-15T20:06:10.476954+00:00,.goa_human.155.gz,,,,,
gene_association.goa_human.156.gz,gene_association.goa_human.156.gz,6466998,768afdd97807bdfa0fa1f653998005b7b23262307850df36c52e335e5ef55caa,2026-08-16T02:24:33.487036+00:00,.goa_human.156.gz,,,,,
gene_association.goa_human.157.gz,gene_association.goa_human.157.gz,6434409,71ec07f1c7fe7acf15855ef37bb47fc41cac3b8703fe556afb08854724b9bc9e,2026-08-16T02:24:45.233447+00:00,.goa_human.157.gz,,,,,
gene_association.goa_ref_human.157.gz,gene_association.goa_ref_human.157.gz,4859536,3c5ddd9775a1efecd74288bca3af99b7cf0288488deff7e728711a753fb5eb78,2026-08-27T14:32:33.555483+00:00,.goa_ref_human.157.gz,,,,,
goa_human.gaf.158.gz,goa_human.gaf.158.gz,4854158,7d5f7aabd0bea1e1f2a9d18af70f5d4038a85a78736d07ba69fc331b34241acf,2026-08-16T02:25:09.552743+00:00,.gaf.158.gz,,,,,
goa_human.gaf.159.gz,goa_human.gaf.159.gz,4890788,b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838,2026-08-15T16:24:36.504724+00:00,.gaf.159.gz,,,,,
goa_human.gaf.160.gz,goa_human.gaf.160.gz,4574158,3d55da7ecf20d4e6c1dfd332a859be521579ba220bcf68fe93633592241ce300,2026-08-15T16:24:52.830339+00:00,.gaf.160.gz,,,,,
