record_type,artifact_name,local_path,local_status,origin_in_this_run,analysis_role,used_by,direct_or_canonical_source_url,source_page_url,url_status,retrieval_status,retrieved_at_utc,size_bytes,sha256,parent_or_derivation,notes,batch_id,inventory_sha256,received_at_utc,integrity_verified_at_utc,analysis_completed_at_utc,deletion_clearance_issued_at_utc,user_deletion_confirmed_at_utc,raw_retention_status,raw_available_in_conversation,retained_derivative_paths,derivative_sha256s,parser_version_or_script_sha256,raw_to_derived_reconciliation,reacquisition_url,deletion_notes
actual_input,graphsage_ppi.zip,/mnt/data/graphsage_ppi.zip,present,user_upload,primary dataset under investigation,run_core_verification.py; finish_B104A_graph_summary.py,https://snap.stanford.edu/graphsage/ppi.zip,https://snap.stanford.edu/graphsage/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,27029260,53aeb76e54fd41b645e7edb48b62929240b89839495396b048086fd212503fbd,,Official GraphSAGE project page links this preprocessed PPI archive.,,,,,,,,,,,,,,,
actual_input,dgl_ppi.zip,/mnt/data/dgl_ppi.zip,present,user_upload,downstream DGL dataset to reproduce,run_core_verification.py,https://data.dgl.ai/dataset/ppi.zip,https://github.com/dmlc/dgl/blob/master/python/dgl/data/ppi.py,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,7088822,1f5b2b09ac0f897fa6aa1338c64ab75a5473674cbba89380120bede8cddb2a6a,,Direct URL used by the DGL dataset loader; supplied archive was hash-checked locally.,,,,,,,,,,,,,,,
actual_input,bio-tissue-networks.tar.gz,/mnt/data/bio-tissue-networks.tar.gz,present,user_upload,OhmNet tissue PPI source candidate,run_core_verification.py,https://snap.stanford.edu/ohmnet/bio-tissue-networks.tar.gz,https://snap.stanford.edu/ohmnet/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,15568869,2c79e17f4a7c8680a7cbf8b20cef4acf356a7523c9a75fce586494153c0603d1,,Official OhmNet project download.,,,,,,,,,,,,,,,
actual_input,bio-tissue-labels.tar.gz,/mnt/data/bio-tissue-labels.tar.gz,present,user_upload,OhmNet tissue-specific GO labels,run_local_label_source_screen.py,https://snap.stanford.edu/ohmnet/bio-tissue-labels.tar.gz,https://snap.stanford.edu/ohmnet/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,1793328,6abf272940d2407849bd779e5f85c0377a2fb07c2351d1ebc82e3d06a46bc11d,,Official OhmNet project download.,,,,,,,,,,,,,,,
actual_input,bio-tissue-hierarchy.tar.gz,/mnt/data/bio-tissue-hierarchy.tar.gz,present,user_upload,OhmNet tissue hierarchy; retained for later work,not used in current numeric checks,https://snap.stanford.edu/ohmnet/bio-tissue-hierarchy.tar.gz,https://snap.stanford.edu/ohmnet/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,421785,c4568a68bb83319bff854eecf73a93f698fe2c41ed6e95639af974dd024ffef7,,Official OhmNet project download.,,,,,,,,,,,,,,,
actual_input,bio-tissue-readme.txt,/mnt/data/bio-tissue-readme.txt,present,user_upload,OhmNet data documentation,report documentation,https://snap.stanford.edu/ohmnet/bio-tissue-readme.txt,https://snap.stanford.edu/ohmnet/,official_or_canonical_url_recorded,supplied_by_user; not downloaded by corrected run,,1465,7f3372f8ae3a90852951c73b18980386ceb4ad2f5d32d81366adf22fd75e2b20,,States Entrez Gene IDs and August-September 2016 collection date.,,,,,,,,,,,,,,,
actual_input,msigdb_v5.1_files_to_download_locally.zip,/mnt/data/msigdb_v5.1_files_to_download_locally.zip,present,user_upload,historical MSigDB comparison,run_local_label_source_screen.py,https://www.gsea-msigdb.org/gsea/downloads.jsp,https://www.gsea-msigdb.org/gsea/downloads.jsp,official_source_page; authenticated direct URL unavailable,supplied_by_user; not downloaded by corrected run,,69702250,5a8b3f10ea92f8e71eaaa0705ab9d3a5229d838864eec9699544b75884bc9e29,,MSigDB direct archive links require an authenticated account; the official download page is recorded instead.,,,,,,,,,,,,,,,
actual_input,msigdb_v5.2_files_to_download_locally.zip,/mnt/data/msigdb_v5.2_files_to_download_locally.zip,present,user_upload,feature recovery and historical label comparison,run_core_verification.py; run_local_label_source_screen.py; finalize_B104A_exact_reconstruction.py,https://www.gsea-msigdb.org/gsea/downloads.jsp,https://www.gsea-msigdb.org/gsea/downloads.jsp,official_source_page; authenticated direct URL unavailable,supplied_by_user; not downloaded by corrected run,,92768160,a618c1c60b11570036034e6357e73e80ee43065ec7a57c1dbd238f205405fbdb,,MSigDB direct archive links require an authenticated account; archive version and hash identify the supplied bytes.,,,,,,,,,,,,,,,
actual_input,msigdb_v5.2_chip_files_to_download_locally.zip,/mnt/data/msigdb_v5.2_chip_files_to_download_locally.zip,present,user_upload,historical chip mappings; retained for later GO work,not used in current numeric checks,https://www.gsea-msigdb.org/gsea/downloads.jsp,https://www.gsea-msigdb.org/gsea/downloads.jsp,official_source_page; authenticated direct URL unavailable,supplied_by_user; not downloaded by corrected run,,67891640,252befc853b5e01cfe99439ec50a7ab8de747cd0abe6224a93077f2d9b0b20fc,,MSigDB authenticated download.,,,,,,,,,,,,,,,
actual_input,msigdb_v6.0_files_to_download_locally.zip,/mnt/data/msigdb_v6.0_files_to_download_locally.zip,present,user_upload,later MSigDB comparison,run_local_label_source_screen.py,https://www.gsea-msigdb.org/gsea/downloads.jsp,https://www.gsea-msigdb.org/gsea/downloads.jsp,official_source_page; authenticated direct URL unavailable,supplied_by_user; not downloaded by corrected run,,72144318,39fa82c4cedc9183c532afb1c1431683536b5945e50fb8be4f5bcce3ac136edf,,MSigDB authenticated download.,,,,,,,,,,,,,,,
