repo	path	blob_sha	blob_size	commit_date	commit_sha	message
PavlidisLab/Gemma	gemma-core/src/test/resources/data/loader/association/gene2go.gz	4c7f42fcc89fdbd72ed2d4cf82fe0e8376365e63	1103	2006-03-10	2dde12df28f968e9da0b57502d6be1a9421220a5	test data
PavlidisLab/Gemma	gemma-core/src/test/resources/data/loader/association/gene2go.gz	4c7f42fcc89fdbd72ed2d4cf82fe0e8376365e63	1103	2007-11-30	f741fae36d100d0aba3023571ab80bc741757752	updates for bug 853 - changes to file format. I updated the 
dhimmel/oxyome	gene-ontology/gene2go.gz	1328a5c1192347ccc3778bf8adf908b0a2373cc8	17283429	2015-03-05	e3f6e87498daee2bebf2a4eda0028ec956dcbf38	Initial commit.
PavlidisLab/Gemma	gemma-core/src/test/resources/data/loader/association/gene2go.gz	4c7f42fcc89fdbd72ed2d4cf82fe0e8376365e63	1103	2017-05-09	8f955d7047d7833bd27c488624397317ccd5a587	Change project and package structure
PavlidisLab/Gemma	gemma-core/src/test/resources/data/loader/association/gene2go.gz	4c7f42fcc89fdbd72ed2d4cf82fe0e8376365e63	1103	2017-05-11	cc37e75c378b3a30b8ac2bd74be40d684e38484e	Renamed gemma-backend to gemma-core
zd105/AllEnricher	database/basic/go/GO20190612/gene2go.gz	ee24b335642751026cf1bf0e132ed7311aba40f2	23251594	2019-06-26	0144ee9138dbe7f8aaa6c35a43dcd64ed44fe262	Add files via upload
PavlidisLab/rdp	src/test/resources/cache/gene2go.gz	6a9283712045b0e3b9fc03a1c8a969babd4632da	133	2020-09-25	d93f64827511f7b97eba013aaab2833e5ccff7cc	Use Spring resources for cached data
sgosline/hyphalnet	bin/data/gene2go.gz	01e7e2933d74703a18a619d4c4fccb2fd8751710	23277919	2020-11-27	1f11101977237327ef70ce385283993ebe9a4e23	Added more analysis
waynebhayes/SANA	go/Entrez/2018/09/gene2go.gz	864d8cf014b1971b3654d73eda95e94b0139529b	17857322	2020-12-08	7be79b043412f50b34880aa24d3830585d229993	moved GO files into Entrez directory
wlchin/CDR_workflows	shared_resources/gene2go.gz	0a7333f8bb91139473367d08382edf62832369ce	22717138	2022-09-22	8b277824724656faa59ed20d282df585b6808fc9	shared resources
waynebhayes/SANA	go/Entrez/2018/09/gene2go.gz	864d8cf014b1971b3654d73eda95e94b0139529b	17857322	2023-05-13	872b3d844cffe91dbdacfdfeb764d581153fe3de	deleted gene2go files and updated DOS2UNIX in count.el
waynebhayes/SANA	go/Entrez/2018/09/gene2go.gz	864d8cf014b1971b3654d73eda95e94b0139529b	17857322	2023-05-17	e8151dc52192407a5388d593063b2bd7bb28ced5	Revert "deleted gene2go files and updated DOS2UNIX in count.
tisimpson/bioinformatics1	labs/data/ontology/gene2go.gz	cc987a0bd230be7df6a3635cc830513daab99d04	36594628	2023-10-20	907e26bd31aa8056249527cd51a7dc7d09cb34a7	uploaded week 5 and 6 notebooks
tisimpson/bioinformatics1	labs/data/ontology/gene2go.gz	cc987a0bd230be7df6a3635cc830513daab99d04	36594628	2024-09-17	655b2993110a68a6dbe8513cd62def401691da77	updated folder name on OD
sarah-n-wright/CARVA	Reference_Data/gene2go.gz	3940c666790816489730d697310982e446a68506	27378826	2025-06-30	10a4a9a8a1f5d0d4c13974fc27bac8c4b69b59e9	Update files for notebook 1C
xin-huang/selscape	.tests/ci/data/test.gene2go.gz	1e06a5ecbe2704ba82b58a17141ba8bc5987a2e8	5575183	2026-05-06	ba0f83e57cf08ae72c9b2f823832f70071c568b1	ci: trigger build on all pushes and pull requests and change
