column_index_0based	collection	source_file	source_row_1based	canonical_name	historical_alias	membership_sha256	source_unique_entrez_count	expected_positive_rows	all_zero_after_projection	evidence_status	evidence_reference
0	C1	c1.all.v6.1.entrez.gmt	3	chr8q24		3409427e97c759ae3c959e397aac124bb9892a892c82ea28673e88b76f045518	214	417	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
1	C1	c1.all.v6.1.entrez.gmt	22	chr14q11		33050a5a8508171e1d983605ea068db6816926f37605fbbb0842ad4811a26faf	330	432	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
2	C1	c1.all.v6.1.entrez.gmt	41	chr12q24		faa18c4a004365eb13f6cbb2a34db0b31fb39569b8fcb02e4df31af7373b12c9	285	717	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
3	C1	c1.all.v6.1.entrez.gmt	49	chr19p13		d015bbc81e7526b86081e298b5ff94757acf34e83d9a2d6f6b917e861217dc59	645	1627	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
4	C1	c1.all.v6.1.entrez.gmt	67	chr11q12		76b9a18612db02c27da64d2d57cfa8059ed83dbc2d4888a2a76fc2c2607f465b	225	336	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
5	C1	c1.all.v6.1.entrez.gmt	73	chr22q13		78e90728c35d9ebcb95ab8e1a79c4974733e30bb9d580f00c58a46b49adb8441	235	564	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
6	C1	c1.all.v6.1.entrez.gmt	78	chr22q11		adcef9b0f2421ace1ba6cdfb34adf011cffa7648bef269d829f7d0e704ce5ca5	369	322	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
7	C1	c1.all.v6.1.entrez.gmt	95	chr1q21		cca6b5fda031934414d4bd907cfb8b3bf11c01d3b32e1b0b593f305e765f89da	358	731	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
8	C1	c1.all.v6.1.entrez.gmt	98	chr6p21		68313856415967a48f4bb205f37963fd058e187b756ff5a2cfc45dd2cff439d0	544	826	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
9	C1	c1.all.v6.1.entrez.gmt	106	chr5q31		fd89bac05b8cecaa3056be91b4c62937bb6d57729eeb8c41b7e9872c68e4afb9	247	562	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
10	C1	c1.all.v6.1.entrez.gmt	131	chryq11		98dc9e25ea4a7a0a4beee4ce0c1309077ba46644a9703cd384bf0f6ca60f3f08	204	0	1	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
11	C1	c1.all.v6.1.entrez.gmt	145	chr19q13		ddb640bdc871241011d32f2e1c0ba656a342295bae493449f60da0d456f96576	948	1602	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
12	C1	c1.all.v6.1.entrez.gmt	148	chr8p23		ffdeae657cc008d8bf3694c6d25e3c93f928b10b3eb7c27d651e4ca1e36522cf	201	106	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
13	C1	c1.all.v6.1.entrez.gmt	152	chr17p13		0cddbd74e310c9defe0b5cb6aab0f136c227f5b354fb8cacba0f826015d78822	293	701	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
14	C1	c1.all.v6.1.entrez.gmt	158	chr14q32		b2f83c5b21e7d13ae627cfda77f4defce2951bb7da71d2c46f3046439ba08245	432	323	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
15	C1	c1.all.v6.1.entrez.gmt	193	chr3p21		bc031564afd2118107e3ec8279e4e76fef7f6d1844dd61b82b2961800f6245be	271	741	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
16	C1	c1.all.v6.1.entrez.gmt	206	chr21q22		76574b522e52f42dc87570cc340a43d4a2870a409534d36d9b7729dde5bc6abf	261	596	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
17	C1	c1.all.v6.1.entrez.gmt	211	chr9q34		061c303e3b4312153ee39cce414181409268a897e5f89f353df4df9e5a1baf3b	267	712	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
18	C1	c1.all.v6.1.entrez.gmt	223	chr11q13		912d6f6ead22f7d5c6d0ca6408a51773ddbf4ada7778fb9dda879181757e81b7	347	1142	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
19	C1	c1.all.v6.1.entrez.gmt	225	chr17q25		5d9aeb36773cff9db03e14d61878ee9225dbc07408adfa692fde2cceed97c0ca	218	535	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
20	C1	c1.all.v6.1.entrez.gmt	229	chrxp11		0508c3f43b05d1f37614af502ec89914963152787813538d2637dd2f2d500239	287	426	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
21	C1	c1.all.v6.1.entrez.gmt	238	chr1p36		2cf94770a6f3f66330677780df7bf982f847e4a7c968d07c22ce0c41606aa69e	504	1173	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
22	C1	c1.all.v6.1.entrez.gmt	245	chr17q21		74453492aa329c8cb0017dbb5246abf0b6e80eb0dd52ba28db443431ccaa57b5	339	852	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
23	C1	c1.all.v6.1.entrez.gmt	247	chr11p15		2556e594e10865d65504cf69aefd5a0da297ae4dc4ebf628ac3f709da44fb145	456	866	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
24	C1	c1.all.v6.1.entrez.gmt	263	chr20q13		554e2ecc5485a4a3c6e8ee816cf4eb89af6668b7e9ebf1a443d64629b009e7a1	244	548	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
25	C1	c1.all.v6.1.entrez.gmt	286	chr12q13		1fdef7fdc45a03c5ab0999ce7388aa7b46b58f0074fb7ea08af9e6535f50a08f	311	799	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
26	C1	c1.all.v6.1.entrez.gmt	293	chr16p13		b298a1e0f39aca10623509f0813e5a07936113169106b42907d4ed33dfce00a7	338	755	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
27	C1	c1.all.v6.1.entrez.gmt	296	chr7q11		3629de15697370933ac747af139d67317a8045cc2fcafb9c8f36278aa6af5bf0	208	301	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
28	C1	c1.all.v6.1.entrez.gmt	298	chr16p11		a4a3a341903acb9462060858c9162a8bd7e35e5bfb8cce2d55353217d9cc49d2	212	246	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
29	C1	c1.all.v6.1.entrez.gmt	299	chr12p13		5ee871ed9b0b221c5cd499e77a794e3641c9a5e6a5afebeea965a87c90bf6483	270	424	0	data_level_exact	gpt56sol/msigdb_v6.1_feature_validation/validation_summary.json
