decision_id	protein_accession	gene_id	action	status	rationale	evidence_reference
SAC3D1_INCLUDE_29901	A6NKF1	29901	include	recovered_unique_primary_symbol_fallback	A6NKF1 has no retained direct gp2protein edge to the GraphSAGE universe; its primary symbol SAC3D1 uniquely identifies GeneID 29901.	gpt56sol/batches/B104G_20260829T150633Z/B104G_REPORT_20260829T151452Z.md
EPM2A_INCLUDE_7957	B3EWF7	7957	include	recovered_unique_primary_symbol_fallback	B3EWF7 has no retained direct gp2protein edge to the GraphSAGE universe; its primary symbol EPM2A uniquely identifies GeneID 7957.	gpt56sol/batches/B104G_20260829T150633Z/B104G_REPORT_20260829T151452Z.md
FSBP_EXCLUDE_RAD54B	O95073	25788	exclude	strongly_supported_semantic_resolution	The historical edge is real, but O95073 is FSBP and its annotations must not be projected onto the RAD54B GraphSAGE node represented by GeneID 25788.	gpt56sol/batches/B104E_20260829T121535Z/analysis/B104E_UniProt_O95073_Q9Y620_flatfile_record_comparison_20260829T121535Z.csv
APOA4_INCLUDE_337	P06727	337	include	recovered_unique_primary_symbol_fallback	P06727 has no retained direct gp2protein edge to the GraphSAGE universe; its primary symbol APOA4 uniquely identifies GeneID 337.	gpt56sol/batches/B104G_20260829T150633Z/B104G_REPORT_20260829T151452Z.md
LPA_INCLUDE_4018	P08519	4018	include	recovered_unique_primary_symbol_fallback	P08519 has no retained direct gp2protein edge to the GraphSAGE universe; its primary symbol LPA uniquely identifies GeneID 4018.	gpt56sol/batches/B104G_20260829T150633Z/B104G_REPORT_20260829T151452Z.md
GPR89B_EXCLUDE_653519	P0CG08	653519	exclude	recovered_component_bijection	The two-accession component B7ZAQ6/P0CG08 resolves by primary symbols to B7ZAQ6->653519 and P0CG08->51463.	gpt56sol/bundle_only/B104G_full_row_and_label_resolution_bundle_20260829T151452Z/B104G/analysis/B104G_mapping_components_touching_full_graph_gene_universe.csv
GPR89B_INCLUDE_51463	P0CG08	51463	include	recovered_component_bijection	The two-accession component B7ZAQ6/P0CG08 resolves by primary symbols to B7ZAQ6->653519 and P0CG08->51463.	gpt56sol/bundle_only/B104G_full_row_and_label_resolution_bundle_20260829T151452Z/B104G/analysis/B104G_mapping_components_touching_full_graph_gene_universe.csv
HSPA1A_EXCLUDE_3304	P0DMV8	3304	exclude	recovered_component_bijection	The two-accession component P0DMV8/P0DMV9 resolves by primary symbols to HSPA1A/GeneID 3303 and HSPA1B/GeneID 3304.	gpt56sol/bundle_only/B104G_full_row_and_label_resolution_bundle_20260829T151452Z/B104G/analysis/B104G_mapping_components_touching_full_graph_gene_universe.csv
HSPA1B_EXCLUDE_3303	P0DMV9	3303	exclude	recovered_component_bijection	The two-accession component P0DMV8/P0DMV9 resolves by primary symbols to HSPA1A/GeneID 3303 and HSPA1B/GeneID 3304.	gpt56sol/bundle_only/B104G_full_row_and_label_resolution_bundle_20260829T151452Z/B104G/analysis/B104G_mapping_components_touching_full_graph_gene_universe.csv
ACAN_INCLUDE_176	P16112	176	include	recovered_unique_primary_symbol_fallback	P16112 has no retained direct gp2protein edge to the GraphSAGE universe; its primary symbol ACAN uniquely identifies GeneID 176.	gpt56sol/batches/B104G_20260829T150633Z/B104G_REPORT_20260829T151452Z.md
HLA_DMA_INCLUDE_3108	P28067	3108	include	recovered_unique_primary_symbol_fallback	P28067 has no retained direct gp2protein edge to the GraphSAGE universe; its primary symbol HLA-DMA uniquely identifies GeneID 3108.	gpt56sol/batches/B104G_20260829T150633Z/B104G_REPORT_20260829T151452Z.md
FCGR2C_EXCLUDE_2213	P31995	2213	exclude	recovered_component_bijection	The two-accession component P31994/P31995 resolves by primary symbols to FCGR2B/GeneID 2213 and FCGR2C/GeneID 9103.	gpt56sol/bundle_only/B104G_full_row_and_label_resolution_bundle_20260829T151452Z/B104G/analysis/B104G_mapping_components_touching_full_graph_gene_universe.csv
FCGR2C_INCLUDE_9103	P31995	9103	include	recovered_component_bijection	The two-accession component P31994/P31995 resolves by primary symbols to FCGR2B/GeneID 2213 and FCGR2C/GeneID 9103.	gpt56sol/bundle_only/B104G_full_row_and_label_resolution_bundle_20260829T151452Z/B104G/analysis/B104G_mapping_components_touching_full_graph_gene_universe.csv
PPP1R15B_INCLUDE_84919	Q5SWA1	84919	include	recovered_unique_primary_symbol_fallback	Q5SWA1 has no retained direct gp2protein edge to the GraphSAGE universe; its primary symbol PPP1R15B uniquely identifies GeneID 84919.	gpt56sol/batches/B104G_20260829T150633Z/B104G_REPORT_20260829T151452Z.md
CEP192_INCLUDE_55125	Q8TEP8	55125	include	recovered_unique_primary_symbol_fallback	Q8TEP8 has no retained direct gp2protein edge to the GraphSAGE universe; its primary symbol CEP192 uniquely identifies GeneID 55125.	gpt56sol/batches/B104G_20260829T150633Z/B104G_REPORT_20260829T151452Z.md
