column_index	go_id	namespace	duplicate_vector_group	identity_status	evidence_reference
0	GO:0050789	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
1	GO:0070062	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
2	GO:0044710	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
3	GO:1901363	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
4	GO:1901360	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
5	GO:0003676	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
6	GO:0097159	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
7	GO:0005737	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
8	GO:1902589	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
9	GO:0043170	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
10	GO:0043412	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
11	GO:0009966	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
12	GO:0003674	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
13	GO:0051239	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
14	GO:0045935	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
15	GO:0048519	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
16	GO:0003723	molecular_function		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
17	GO:0006810	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
18	GO:0044421	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
19	GO:0008152	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
20	GO:0005654	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
21	GO:0050794	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
22	GO:1903506	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
23	GO:0071840	biological_process		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
24	GO:0043228	cellular_component	GO:0043228|GO:0043232	strongly_supported_provisional	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
25	GO:0043227	cellular_component		exact_from_membership	gpt56sol/batches/B104C_20260828T194921Z/analysis/B104C_inferred_unique_121_GO_column_order_20260828T194921Z.csv
