graph_index_1based	tissue	split	ohmnet_member	ohmnet_member_sha256	node_count	edge_count	evidence_status	evidence_reference
1	adipose_tissue	train	bio-tissue-networks/adipose_tissue.edgelist	8a710bc0b89e878705a4f43fee975350eeb4a0dafacd822794e7e5d6c02b2bdf	1554	16912	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
2	adrenal_cortex	train	bio-tissue-networks/adrenal_cortex.edgelist	1fd49ff95427479cbf9921000447d2a03168b1d7fd1bca7cb370800102d13e54	1388	15517	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
3	adrenal_gland	train	bio-tissue-networks/adrenal_gland.edgelist	4aafe1ede242f710c8181c8238e8760a656ad62b4779d38459d34b28eec90a5d	2273	30839	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
4	amygdala	train	bio-tissue-networks/amygdala.edgelist	56ada9b0173a0af8eff4f130952198ac35fbb39ddee9baf560b54c559f2356f0	2349	33731	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
5	aorta	train	bio-tissue-networks/aorta.edgelist	6eca6240e77f2be2515851c65751537fa49a150abc5ffe16cc5cdc166187bad0	1587	18871	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
6	astrocyte	train	bio-tissue-networks/astrocyte.edgelist	9c1b60a527a3f18acd02ab4433df9f12ced1d308682c0881ac1614264d258812	1029	9635	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
7	artery	train	bio-tissue-networks/artery.edgelist	0c87d9e654bcda5cb6eb0319c6cd57f43f7a85887c84d8a2372a0a680b2716ab	1835	23041	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
8	basal_ganglion	train	bio-tissue-networks/basal_ganglion.edgelist	91440f8d1f6bb224b3594dce7fbb39f8f476a4dfacf17a08c70491bacb8021af	2500	36276	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
9	basophil	train	bio-tissue-networks/basophil.edgelist	2efbb1a750abd7eec3241fdfddb68533487aa8506faf054a541dd9e111053168	602	4193	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
10	blood	train	bio-tissue-networks/blood.edgelist	6df7ca8b5dd7aefbed2cb34004eebdc710614380530d976d2c9d355b3942d981	3326	54554	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
11	blood_plasma	train	bio-tissue-networks/blood_plasma.edgelist	2b062830ba014fee31850244a9706d824311282589bd1db9483125670496f897	2407	33201	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
12	blood_platelet	train	bio-tissue-networks/blood_platelet.edgelist	01c8ad835d34ca54c6441b6236e37370933f78e1df12280da9766d0661c90f71	1884	24016	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
13	bone	train	bio-tissue-networks/bone.edgelist	20f1395d7d1fa0c79a600b5930b5987e196411c3fb8c3b9f9d3954c05f269b3d	1825	23741	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
14	brain	train	bio-tissue-networks/brain.edgelist	20416746109135f00d36a4ac6770b5ca7e92c3268f9eb54301dd8d53bbf778ea	3497	54824	data_level_exact	gpt56sol/batches/B104H_20260830T110259Z/B104H_MAPPING_VALIDATION_20260830T110259Z.json
