source_id	role	acquisition	filename	primary_url	mirror_url	sha256	size_bytes	license	description
ohmnet_networks	upstream	download	bio-tissue-networks.tar.gz	https://snap.stanford.edu/ohmnet/bio-tissue-networks.tar.gz		2c79e17f4a7c8680a7cbf8b20cef4acf356a7523c9a75fce586494153c0603d1	15568869	review_pending	OhmNet tissue-specific PPI edgelists; only the 24 frozen GraphSAGE tissues are read.
ohmnet_readme	upstream	download	bio-tissue-readme.txt	https://snap.stanford.edu/ohmnet/bio-tissue-readme.txt		7f3372f8ae3a90852951c73b18980386ceb4ad2f5d32d81366adf22fd75e2b20	1465	review_pending	Official OhmNet data description and Entrez GeneID semantics.
msigdb_c1_v61	upstream	download	c1.all.v6.1.entrez.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/6.1/c1.all.v6.1.entrez.gmt		c87eddfc173c34420cd082b0b04a8edc65d6cf79ec9d86388426a6bdd3a2de02	208819	CC-BY-4.0	MSigDB v6.1 C1 positional gene sets in Entrez-ID GMT format.
msigdb_c3_v61	upstream	download	c3.all.v6.1.entrez.gmt	https://data.broadinstitute.org/gsea-msigdb/msigdb/release/6.1/c3.all.v6.1.entrez.gmt		8f9d8218a0eaf9476ba009bb1a97f6161bc64a73152ce8de07e739eb7e91d30e	1171503	CC-BY-4.0	MSigDB v6.1 C3 motif/regulatory-target gene sets in Entrez-ID GMT format.
goa_human_gaf_159	upstream	download	goa_human.gaf.159.gz	https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gaf.159.gz		b098509f9ce70fbe7e93e7fabb3c8a767b8201fe25662ff6a57959d6cee43838	4890788	review_pending	GOA human release 159 GAF annotations.
goa_human_gpi_159	upstream	download	goa_human.gpi.159.gz	https://ftp.ebi.ac.uk/pub/databases/GO/goa/old/HUMAN/goa_human.gpi.159.gz		f783a8c71c464b3b98673eb4dc0ae836ad61bd6c72415ae62828d20d0e735612	602689	review_pending	GOA human release 159 GPI object metadata.
gp2protein_geneid_20160601	upstream	download	2016-06-01-gp2protein.geneid.gz	https://release.geneontology.org/2016-06-01/annotations/gp2protein/gp2protein.geneid.gz		f3a2d329ada32f03e4c3ec60c55ef77cfe3626c3c875832e59612e5f316504e7	38540366	review_pending	Historical GeneID-to-UniProt mapping distributed with the 2016-06-01 GO release.
go_ontology_20160601	upstream	download	2016-06-01-go.obo	https://release.geneontology.org/2016-06-01/ontology/go.obo		9b4c0c28d73ba41ae4c684d78b354d2c8bea691a5d759d4cdd188eecdd307ca2	34762536	review_pending	Gene Ontology OBO snapshot from the 2016-06-01 release.
graphsage_ppi_reference	reference	download	graphsage_ppi.zip	https://snap.stanford.edu/graphsage/ppi.zip		53aeb76e54fd41b645e7edb48b62929240b89839495396b048086fd212503fbd	27029260	review_pending	Released GraphSAGE PPI archive, read only by validation.
dgl_ppi_reference	reference	download	dgl_ppi.zip	https://data.dgl.ai/dataset/ppi.zip		1f5b2b09ac0f897fa6aa1338c64ab75a5473674cbba89380120bede8cddb2a6a	7088822	review_pending	Released DGL PPI archive, read only by validation.
